1	jpn 1	vie 1	note 1
2	jpn 2	vie 2	note 2
3	jpn 3	vie 3	note 3
4	jpn 4	vie 4	note 4
5	jpn 5	vie 5	note 5
6	jpn 6	vie 6	note 6
7	jpn 7	vie 7	note 7
8	jpn 8	vie 8	note 8
9	jpn 9	vie 9	note 9
10	jpn 10	vie 10	note 10
11	jpn 11	vie 11	note 11
12	jpn 12	vie 12	note 12
13	jpn 13	vie 13	note 13
14	jpn 14	vie 14	note 14
15	jpn 15	vie 15	note 15
16	jpn 16	vie 16	note 16
17	jpn 17	vie 17	note 17
18	jpn 18	vie 18	note 18
19	jpn 19	vie 19	note 19
20	jpn 20	vie 20	note 20
21	jpn 21	vie 21	note 21
22	jpn 22	vie 22	note 22
23	jpn 23	vie 23	note 23
24	jpn 24	vie 24	note 24
25	jpn 25	vie 25	note 25
26	jpn 26	vie 26	note 26
27	jpn 27	vie 27	note 27
28	jpn 28	vie 28	note 28
29	jpn 29	vie 29	note 29
30	jpn 30	vie 30	note 30
31	jpn 31	vie 31	note 31
32	jpn 32	vie 32	note 32
33	jpn 33	vie 33	note 33
34	jpn 34	vie 34	note 34
35	jpn 35	vie 35	note 35
36	jpn 36	vie 36	note 36
37	jpn 37	vie 37	note 37
38	jpn 38	vie 38	note 38
39	jpn 39	vie 39	note 39
40	jpn 40	vie 40	note 40
41	jpn 41	vie 41	note 41
42	jpn 42	vie 42	note 42
43	jpn 43	vie 43	note 43
44	jpn 44	vie 44	note 44
45	jpn 45	vie 45	note 45
46	jpn 46	vie 46	note 46
47	jpn 47	vie 47	note 47
48	jpn 48	vie 48	note 48
49	jpn 49	vie 49	note 49
50	jpn 50	vie 50	note 50
51	jpn 51	vie 51	note 51
52	jpn 52	vie 52	note 52
53	jpn 53	vie 53	note 53
54	jpn 54	vie 54	note 54
55	jpn 55	vie 55	note 55
56	jpn 56	vie 56	note 56
57	jpn 57	vie 57	note 57
58	jpn 58	vie 58	note 58
59	jpn 59	vie 59	note 59
60	jpn 60	vie 60	note 60
61	jpn 61	vie 61	note 61
62	jpn 62	vie 62	note 62
63	jpn 63	vie 63	note 63
64	jpn 64	vie 64	note 64
65	jpn 65	vie 65	note 65
66	jpn 66	vie 66	note 66
67	jpn 67	vie 67	note 67
68	jpn 68	vie 68	note 68
69	jpn 69	vie 69	note 69
70	jpn 70	vie 70	note 70
71	jpn 71	vie 71	note 71
72	jpn 72	vie 72	note 72
73	jpn 73	vie 73	note 73
74	jpn 74	vie 74	note 74
75	jpn 75	vie 75	note 75
76	jpn 76	vie 76	note 76
77	jpn 77	vie 77	note 77
78	jpn 78	vie 78	note 78
79	jpn 79	vie 79	note 79
80	jpn 80	vie 80	note 80
81	jpn 81	vie 81	note 81
82	jpn 82	vie 82	note 82
83	jpn 83	vie 83	note 83
84	jpn 84	vie 84	note 84
85	jpn 85	vie 85	note 85
86	jpn 86	vie 86	note 86
87	jpn 87	vie 87	note 87
88	jpn 88	vie 88	note 88
89	jpn 89	vie 89	note 89
90	jpn 90	vie 90	note 90
91	jpn 91	vie 91	note 91
92	jpn 92	vie 92	note 92
93	jpn 93	vie 93	note 93
94	jpn 94	vie 94	note 94
95	jpn 95	vie 95	note 95
96	jpn 96	vie 96	note 96
97	jpn 97	vie 97	note 97
98	jpn 98	vie 98	note 98
99	jpn 99	vie 99	note 99
100	jpn 100	vie 100	note 100
101	jpn 101	vie 101	note 101
102	jpn 102	vie 102	note 102
103	jpn 103	vie 103	note 103
104	jpn 104	vie 104	note 104
105	jpn 105	vie 105	note 105
106	jpn 106	vie 106	note 106
107	jpn 107	vie 107	note 107
108	jpn 108	vie 108	note 108
109	jpn 109	vie 109	note 109
110	jpn 110	vie 110	note 110
111	jpn 111	vie 111	note 111
112	jpn 112	vie 112	note 112
113	jpn 113	vie 113	note 113
114	jpn 114	vie 114	note 114
115	jpn 115	vie 115	note 115
116	jpn 116	vie 116	note 116
117	jpn 117	vie 117	note 117
118	jpn 118	vie 118	note 118
119	jpn 119	vie 119	note 119
120	jpn 120	vie 120	note 120
121	jpn 121	vie 121	note 121
122	jpn 122	vie 122	note 122
123	jpn 123	vie 123	note 123
124	jpn 124	vie 124	note 124
125	jpn 125	vie 125	note 125
126	jpn 126	vie 126	note 126
127	jpn 127	vie 127	note 127
128	jpn 128	vie 128	note 128
129	jpn 129	vie 129	note 129
130	jpn 130	vie 130	note 130
131	jpn 131	vie 131	note 131
132	jpn 132	vie 132	note 132
133	jpn 133	vie 133	note 133
134	jpn 134	vie 134	note 134
135	jpn 135	vie 135	note 135
136	jpn 136	vie 136	note 136
137	jpn 137	vie 137	note 137
138	jpn 138	vie 138	note 138
139	jpn 139	vie 139	note 139
140	jpn 140	vie 140	note 140
141	jpn 141	vie 141	note 141
142	jpn 142	vie 142	note 142
143	jpn 143	vie 143	note 143
144	jpn 144	vie 144	note 144
145	jpn 145	vie 145	note 145
146	jpn 146	vie 146	note 146
147	jpn 147	vie 147	note 147
148	jpn 148	vie 148	note 148
149	jpn 149	vie 149	note 149
150	jpn 150	vie 150	note 150
151	jpn 151	vie 151	note 151
152	jpn 152	vie 152	note 152
153	jpn 153	vie 153	note 153
154	jpn 154	vie 154	note 154
155	jpn 155	vie 155	note 155
156	jpn 156	vie 156	note 156
157	jpn 157	vie 157	note 157
158	jpn 158	vie 158	note 158
159	jpn 159	vie 159	note 159
160	jpn 160	vie 160	note 160
161	jpn 161	vie 161	note 161
162	jpn 162	vie 162	note 162
163	jpn 163	vie 163	note 163
164	jpn 164	vie 164	note 164
165	jpn 165	vie 165	note 165
166	jpn 166	vie 166	note 166
167	jpn 167	vie 167	note 167
168	jpn 168	vie 168	note 168
169	jpn 169	vie 169	note 169
170	jpn 170	vie 170	note 170
171	jpn 171	vie 171	note 171
172	jpn 172	vie 172	note 172
173	jpn 173	vie 173	note 173
174	jpn 174	vie 174	note 174
175	jpn 175	vie 175	note 175
176	jpn 176	vie 176	note 176
177	jpn 177	vie 177	note 177
178	jpn 178	vie 178	note 178
179	jpn 179	vie 179	note 179
180	jpn 180	vie 180	note 180
181	jpn 181	vie 181	note 181
182	jpn 182	vie 182	note 182
183	jpn 183	vie 183	note 183
184	jpn 184	vie 184	note 184
185	jpn 185	vie 185	note 185
186	jpn 186	vie 186	note 186
187	jpn 187	vie 187	note 187
188	jpn 188	vie 188	note 188
189	jpn 189	vie 189	note 189
190	jpn 190	vie 190	note 190
191	jpn 191	vie 191	note 191
192	jpn 192	vie 192	note 192
193	jpn 193	vie 193	note 193
194	jpn 194	vie 194	note 194
195	jpn 195	vie 195	note 195
196	jpn 196	vie 196	note 196
197	jpn 197	vie 197	note 197
198	jpn 198	vie 198	note 198
199	jpn 199	vie 199	note 199
200	jpn 200	vie 200	note 200
201	jpn 201	vie 201	note 201
202	jpn 202	vie 202	note 202
203	jpn 203	vie 203	note 203
204	jpn 204	vie 204	note 204
205	jpn 205	vie 205	note 205
206	jpn 206	vie 206	note 206
207	jpn 207	vie 207	note 207
208	jpn 208	vie 208	note 208
209	jpn 209	vie 209	note 209
210	jpn 210	vie 210	note 210
211	jpn 211	vie 211	note 211
212	jpn 212	vie 212	note 212
213	jpn 213	vie 213	note 213
214	jpn 214	vie 214	note 214
215	jpn 215	vie 215	note 215
216	jpn 216	vie 216	note 216
217	jpn 217	vie 217	note 217
218	jpn 218	vie 218	note 218
219	jpn 219	vie 219	note 219
220	jpn 220	vie 220	note 220
221	jpn 221	vie 221	note 221
222	jpn 222	vie 222	note 222
223	jpn 223	vie 223	note 223
224	jpn 224	vie 224	note 224
225	jpn 225	vie 225	note 225
226	jpn 226	vie 226	note 226
227	jpn 227	vie 227	note 227
228	jpn 228	vie 228	note 228
229	jpn 229	vie 229	note 229
230	jpn 230	vie 230	note 230
231	jpn 231	vie 231	note 231
232	jpn 232	vie 232	note 232
233	jpn 233	vie 233	note 233
234	jpn 234	vie 234	note 234
235	jpn 235	vie 235	note 235
236	jpn 236	vie 236	note 236
237	jpn 237	vie 237	note 237
238	jpn 238	vie 238	note 238
239	jpn 239	vie 239	note 239
240	jpn 240	vie 240	note 240
241	jpn 241	vie 241	note 241
